# PLIKE V4.0 ZDCF peak likelihood analysis
# for file plike_input_ztf.dcf
#
# num      lag         r         -dr        +dr    likelihood 
# ---- ---------- ---------- ---------- ---------- ---------- 
     1  2.104E+02 -2.026E-01  1.299E-01  1.329E-01  6.615E-04
     2  2.378E+02 -1.106E-01  1.043E-01  1.080E-01  3.984E-03
     3  2.666E+02 -3.895E-02  8.700E-02  9.040E-02  1.470E-02
     4  2.853E+02 -2.730E-02  7.692E-02  8.036E-02  2.226E-02
     5  3.081E+02  9.756E-02  6.751E-02  7.015E-02  1.847E-01
     6  3.370E+02  1.187E-01  9.000E-02  9.302E-02  2.639E-01
     7  3.561E+02  5.142E-02  8.745E-02  9.011E-02  7.209E-02
     8  3.772E+02  1.313E-01  9.843E-02  1.008E-01  3.012E-01
     9  3.975E+02  6.063E-02  1.178E-01  1.200E-01  9.681E-02
#
# ML Peak at t_lag =  +3.772E+02, Likelihood at peak =  +3.012E-01
# 1 sigma ML t_lag interval =  +3.772E+02  +1.400E+01  -5.784E+01
#                           = ( +3.194E+02 ,  +3.912E+02)
