time_hours flux conf
0.0 1357.3530273 68.83075
0.921 1372.277832 62.90351
1.843 1387.0861816 54.41189
2.764 1401.8946533 42.308903
3.686 1416.7027588 25.277306
4.607 1431.5111084 1.733017
5.529 1436.8944092 67.36908
6.45 1434.0661621 64.67392
7.372 1431.2381592 62.018036
8.293 1428.40979 59.396973
9.215 1425.581543 56.81903
10.136 1422.753418 54.27678
11.058 1419.9251709 51.772903
11.979 1417.09729 49.304398
12.901 1414.269043 46.874588
13.822 1411.4407959 44.4831
14.743 1408.612793 42.126938
15.665 1405.7841797 39.806816
16.586 1402.9564209 37.52275
17.508 1400.1279297 35.2743
18.429 1397.3000488 33.06292
19.351 1394.4718018 30.884674
20.272 1391.6436768 28.7417
21.194 1388.8154297 26.633163
22.115 1385.9871826 24.559418
23.037 1383.1591797 22.517555
23.958 1380.3309326 20.51117
24.88 1377.5029297 18.536636
25.801 1374.6743164 16.59568
26.722 1371.8461914 14.686462
27.644 1369.0183105 12.808357
28.565 1366.1899414 10.963608
29.487 1363.3619385 9.149101
30.408 1362.2193604 3.8101883
31.33 1363.8657227 27.270905
32.251 1366.3317871 43.377636
33.173 1371.0977783 53.463562
34.094 1375.8642578 60.978592
35.016 1380.6304932 66.53951
35.937 1385.3968506 70.63301
36.859 1389.5310059 73.11661
37.78 1392.5147705 74.24896
38.702 1395.4984131 75.23324
39.623 1398.4822998 76.088585
40.544 1401.4660645 76.83152
41.466 1404.4500732 77.476746
42.387 1407.4337158 78.03682
43.309 1410.4176025 78.52295
44.23 1413.4013672 78.944824
45.152 1416.3852539 79.31076
46.073 1419.3692627 79.62824
46.995 1422.3532715 79.90358
47.916 1425.336792 80.14235
48.838 1428.3205566 80.349396
49.759 1431.3044434 80.52892
50.681 1434.2883301 80.68457
51.602 1435.2784424 80.6039
52.523 1436.0543213 80.48859
53.445 1436.8299561 80.36116
54.366 1437.6053467 80.22027
55.288 1438.3812256 80.064575
56.209 1439.1568604 79.89253
57.131 1439.9324951 79.70242
58.052 1440.708252 79.492325
58.974 1441.4838867 79.26016
59.895 1442.2597656 79.00367
60.817 1443.0351562 78.72029
61.738 1443.8109131 78.40725
62.66 1444.5866699 78.06151
63.581 1445.3625488 77.679565
64.503 1446.1379395 77.25781
65.424 1446.9135742 76.79217
66.345 1447.689209 76.278
67.267 1448.4649658 75.71047
68.188 1449.2407227 75.08403
69.11 1450.0163574 74.39286
70.031 1450.7921143 73.63031
70.953 1451.5678711 72.789185
71.874 1450.6329346 71.15231
72.796 1440.8754883 63.623
73.717 1431.118042 50.963528
74.639 1453.3591309 42.738667
75.56 1482.9262695 39.6408
76.482 1463.0859375 36.58009
77.403 1436.2489014 30.20095
78.325 1398.4492188 17.063011
79.246 1360.6494141 0.9634552
80.167 1322.8494873 18.57322
81.089 1315.3068848 22.336266
82.01 1311.8817139 23.718437
82.932 1308.4562988 25.11657
83.853 1305.0308838 26.530212
84.775 1301.6054688 27.959534
85.696 1298.1802979 29.404762
86.618 1294.7548828 30.865906
87.539 1291.3295898 32.34339
88.461 1287.9041748 33.83687
89.382 1284.4790039 35.346733
90.304 1281.00354 36.813904
91.225 1277.5106201 38.275803
92.146 1276.9827881 38.160805
93.068 1279.6190186 36.368744
93.989 1282.2550049 34.599228
94.911 1283.5072021 20.01876
95.832 1281.6304932 14.694969
96.754 1291.307251 66.83241
97.675 1302.2125244 78.923256
98.597 1283.6429443 80.98215
99.518 1262.3050537 81.49659
100.44 1293.2832031 81.65986
101.361 1335.5924072 81.68919
102.283 1376.4282227 81.69146
103.204 1475.8115234 81.68947
104.126 1546.4034424 81.69217
105.047 1564.3106689 81.69193
105.968 1570.2512207 81.69064
106.89 1571.402832 81.68778
107.811 1572.5541992 81.68368
108.733 1573.7058105 81.677734
109.654 1575.1330566 81.66917
110.576 1577.0351562 81.65688
111.497 1578.9371338 81.63912
112.419 1580.8391113 81.61351
113.34 1582.7252197 81.56959
114.262 1584.6577148 81.48287
115.183 1586.592041 81.336105
116.105 1588.526123 81.08877
117.026 1590.4603271 80.67217
117.947 1575.9909668 79.7602
118.869 1534.1809082 76.831825
119.79 1465.9827881 72.176796
120.712 1453.8581543 59.73181
121.633 1442.3881836 52.06702
122.555 1430.9063721 41.986786
123.476 1419.585083 28.78011
124.398 1425.3007812 14.897682
125.319 1431.8913574 2.6322708
126.241 1431.9066162 0.18179321
127.162 1431.8065186 2.6041718
128.084 1431.7062988 5.3056793
129.005 1431.6060791 7.9244614
129.927 1431.5059814 10.462944
130.848 1431.4057617 12.923637
131.769 1431.3056641 15.307236
132.691 1431.2054443 17.615936
133.612 1431.1051025 19.851791
134.534 1431.005127 22.016441
135.455 1430.9047852 24.111824
136.377 1430.8046875 26.139915
137.298 1430.7044678 28.102165
138.22 1430.6043701 30.000282
139.141 1430.5042725 31.836414
140.063 1430.4040527 33.61172
140.984 1430.3037109 35.328384
141.906 1430.2034912 36.98783
142.827 1430.1033936 38.591557
143.748 1430.0031738 40.141624
144.67 1429.9030762 41.639114
145.591 1429.8028564 43.085766
146.513 1429.7026367 44.482834
147.434 1429.6026611 45.832394
148.356 1429.5024414 47.13569
149.277 1429.4020996 48.393425
150.199 1429.302002 49.60818
151.12 1429.2017822 50.780304
152.042 1429.1015625 51.911545
152.963 1429.0013428 53.003395
153.885 1428.9012451 54.056854
154.806 1428.8010254 55.072983
155.728 1428.7009277 56.05336
156.649 1428.6005859 56.998875
157.57 1428.5006104 57.910915
158.492 1428.4002686 58.79033
159.413 1428.3001709 59.63831
160.335 1428.1999512 60.455963
161.256 1428.0996094 61.244152
162.178 1427.9995117 62.004066
163.099 1427.899292 62.736572
164.021 1427.7990723 63.442524
164.942 1427.6989746 64.12293
165.864 1427.5987549 64.77851
166.785 1427.4986572 65.410355
167.707 1430.3581543 67.27373
168.628 1431.2071533 65.31817
169.549 1432.0561523 63.10498
170.471 1432.9052734 60.602074
171.392 1433.7545166 57.774475
172.314 1433.7973633 53.680756
173.235 1432.7800293 47.49177
174.157 1425.2453613 32.91229
175.078 1410.9594727 0.79494476
176.0 1396.6730957 48.653625
176.921 1389.4345703 82.10184
177.843 1384.9997559 5.18344
178.764 1385.8594971 97.6078
179.686 1386.7191162 90.26547
180.607 1387.5788574 83.15393
181.529 1388.4387207 76.27101
182.45 1389.298584 69.61351
183.371 1390.1580811 63.17943
184.293 1391.0178223 56.964737
185.214 1391.8775635 50.96614
186.136 1392.7371826 45.18023
187.057 1393.597168 39.601875
187.979 1394.456665 34.228157
188.9 1395.3165283 29.054825
189.822 1396.1761475 24.076172
190.743 1397.0358887 19.28926
191.665 1398.1455078 7.706215
192.586 1357.9815674 62.68548
193.508 1324.0234375 68.72575
194.429 1319.3139648 54.674026
195.35 1314.6044922 26.624664
196.272 1319.4847412 13.478432
197.193 1364.2929688 40.38029
198.115 1361.1730957 37.927902
199.036 1358.0531006 35.34021
199.958 1356.4648438 33.191666
200.879 1359.1951904 32.625187
201.801 1361.9257812 32.052666
202.722 1364.6561279 31.473648
203.644 1367.3864746 30.888512
204.565 1370.1170654 30.297096
205.487 1372.8474121 29.699226
206.408 1375.5778809 29.09505
207.33 1378.3082275 28.484337
208.251 1381.0386963 27.867405
209.172 1383.769165 27.243725
210.094 1386.4996338 26.6133
211.015 1389.2298584 25.976116
211.937 1391.9605713 25.332321
212.858 1394.690918 24.681541
213.78 1397.4213867 24.024136
214.701 1400.1516113 23.359432
215.623 1402.8820801 22.688026
216.544 1405.6126709 22.00969
217.466 1408.3431396 21.324116
218.387 1411.1000977 20.530193
219.309 1434.9405518 32.092213
220.23 1464.1206055 43.983017
221.152 1493.3006592 53.147163
222.073 1522.4804688 60.15729
222.994 1518.3884277 59.28386
223.916 1511.5310059 57.663567
224.837 1504.6734619 55.930374
225.759 1497.8162842 54.077415
226.68 1490.9586182 52.097183
227.602 1484.1013184 49.981667
228.523 1477.2441406 47.722786
229.445 1470.3864746 45.311436
230.366 1463.5291748 42.73905
231.288 1456.6716309 39.996174
232.209 1449.814209 37.07284
233.131 1442.9569092 33.95919
234.052 1436.0993652 30.644703
234.973 1429.2419434 27.118488
235.895 1422.3847656 23.369877
236.816 1415.5270996 19.38686
237.738 1408.6697998 15.159004
238.659 1401.8123779 10.673523
239.581 1397.128418 11.975868
240.502 1394.3676758 18.165672
241.424 1391.6072998 23.853584
242.345 1388.4736328 29.562538
243.267 1363.5509033 35.367958
244.188 1336.9567871 40.361588
245.11 1310.3624268 44.846886
246.031 1300.6794434 43.908222
246.953 1302.0744629 39.243053
