time_hours flux conf
0.0 1343.513916 12.148735
0.226 1374.2148438 21.654156
0.452 1362.987793 6.488448
0.678 1377.0802002 4.0174046
0.903 1384.0808105 3.8252423
1.129 1368.5374756 3.8090036
1.355 1366.6124268 3.807787
1.581 1363.8934326 3.8075695
1.807 1375.4399414 3.80753
2.033 1390.9174805 3.8075233
2.259 1403.0192871 3.8075278
2.484 1404.0054932 3.8075716
2.71 1414.4047852 3.8079007
2.936 1417.7451172 3.8115993
3.162 1409.90625 3.8585558
3.388 1390.8328857 4.862094
3.614 1391.0826416 10.089496
3.84 1402.4117432 7.4027147
4.065 1405.190918 4.5133247
4.291 1427.0859375 4.010456
4.517 1453.1447754 3.8998377
4.743 1453.3771973 3.8162882
4.969 1455.1264648 3.8076246
5.195 1482.6136475 3.807495
5.421 1470.604126 3.807495
5.646 1452.62146 3.807495
5.872 1478.5401611 3.807495
6.098 1465.5100098 3.807495
6.324 1414.7034912 3.807495
6.55 1411.2193604 3.807495
6.776 1394.5371094 3.807495
7.002 1396.7310791 3.807495
7.227 1395.2585449 3.807495
7.453 1392.7319336 3.807495
7.679 1383.6468506 3.807495
