time_hours flux conf
0.0 963.8054199 36.49208
0.916 978.3918457 52.773617
1.831 992.9783936 65.54621
2.747 1007.5650635 75.4285
3.662 1022.0990601 62.821537
4.578 1036.6203613 36.58139
5.493 1051.142334 2.4198074
6.409 1048.5715332 14.263298
7.324 1042.3225098 5.215111
8.24 1036.0737305 3.29113
9.155 1029.8251953 11.267891
10.071 1023.5766602 18.733238
10.986 1017.3277588 25.704193
11.902 1011.0790405 32.200546
12.817 1004.8300781 38.24144
13.733 998.581543 43.849255
14.648 992.3325195 49.044884
15.564 986.0838013 53.850018
16.479 979.835083 58.287556
17.395 973.5863037 62.378345
18.31 967.3375244 66.144775
19.226 961.0888062 69.607864
20.141 958.175354 71.77011
21.057 960.4394531 72.26486
21.972 962.703186 72.752686
22.888 964.9671631 73.23419
23.804 967.2311401 73.70901
24.719 969.494873 74.177155
25.635 971.7590942 74.63889
26.55 974.0228271 75.09441
27.466 976.2863159 75.543335
28.381 974.7467651 90.462875
29.297 966.3930664 99.310486
30.212 934.8439331 85.239334
31.128 940.6003418 97.423706
32.043 939.9239502 101.2598
32.959 940.6157227 102.221405
33.874 943.7767334 102.762314
34.79 947.659668 102.76133
35.705 951.5427246 102.760315
36.621 955.4257202 102.75933
37.536 959.3088379 102.75835
38.452 963.1918945 102.75731
39.367 967.074707 102.75632
40.283 970.9577026 102.75533
41.198 974.8407593 102.75432
42.114 978.723999 102.753334
43.029 982.6066895 102.752266
43.945 986.4898682 102.75131
44.861 990.3728638 102.7503
45.776 994.2557983 102.74929
46.692 998.138855 102.74831
47.607 1002.0218506 102.74729
48.523 1005.9049072 102.74631
49.438 1009.7877197 102.74526
50.354 1013.6708374 102.74428
51.269 1017.553833 102.74327
52.185 1021.4369507 102.74228
53.1 1025.3199463 102.74124
54.016 1029.2028809 102.74023
54.931 1033.0858154 102.73922
55.847 1036.9561768 102.36006
56.762 1040.8222656 101.77435
57.678 1044.6882324 101.08306
58.593 1048.5541992 100.267426
59.509 1052.4202881 99.30585
60.424 1056.286377 98.172806
61.34 1060.1523438 96.8388
62.255 1063.4331055 95.456665
63.171 1065.3759766 94.33974
64.086 1067.3187256 93.10282
65.002 1069.2612305 91.73368
65.917 1071.2041016 90.21934
66.833 1073.1467285 88.54512
67.749 1075.0894775 86.6958
68.664 1077.0322266 84.65451
69.58 1078.9748535 82.40349
70.495 1080.9177246 79.9232
71.411 1082.8604736 77.19328
72.326 1075.9154053 72.36902
73.242 1057.4074707 63.969852
74.157 1038.8996582 53.672146
75.073 1062.0922852 72.136795
75.988 1078.8205566 82.50741
76.904 1062.3603516 80.387764
77.819 1038.0721436 75.87696
78.735 1013.7841187 70.617134
79.65 987.7668457 65.343414
80.566 971.0631104 62.79669
81.481 967.7122803 63.98007
82.397 964.3613281 65.13336
83.312 961.010376 66.25733
84.228 957.6595459 67.35239
85.143 954.3084717 68.41957
86.059 950.9576416 69.459175
86.974 947.6067505 70.47156
87.89 944.2558594 71.45804
88.805 940.9049072 72.41832
89.721 937.5539551 73.353806
90.637 934.2030029 74.26425
91.552 930.8521729 75.15107
92.468 927.5013428 76.013824
93.383 924.1503296 76.85387
94.299 920.7993774 77.671616
95.214 917.4485474 78.46721
96.13 913.4660645 80.36587
97.045 908.2994995 83.992325
97.961 903.1328735 87.11766
98.876 887.1398926 101.647
99.792 877.9813843 105.40036
100.707 886.5704346 105.55433
101.623 914.7344971 105.56209
102.538 941.0286865 105.56627
103.454 993.1489258 105.56344
104.369 1045.8475342 105.55003
105.285 1054.7351074 105.537605
106.2 1061.8457031 105.51708
107.116 1067.9560547 105.48347
108.031 1073.194458 105.4276
