time_hours flux conf
0.0 983.5178833 42.94812
0.226 940.6098633 42.94684
0.452 969.2644043 111.18701
0.678 982.6212769 42.946537
0.904 995.1864624 42.94812
1.129 974.5170898 42.94812
1.355 970.8100586 42.94812
1.581 966.5928955 42.94812
1.807 985.4591675 42.94812
2.033 988.0669556 42.94812
2.259 983.8424072 42.94812
2.485 1001.4526978 42.94812
2.711 1017.9125977 42.94812
2.937 1025.1546631 42.94812
3.162 1025.1806641 42.94812
3.388 1027.5965576 42.94812
3.614 1029.0581055 42.94812
3.84 1023.2064209 42.94812
4.066 1011.086731 42.94812
4.292 998.1199951 42.94812
4.518 1007.0894775 42.94812
4.744 1040.0482178 42.94812
4.969 1061.708252 42.94812
5.195 1072.2176514 42.94812
5.421 1081.6485596 42.94812
5.647 1104.807251 42.94812
5.873 1075.4366455 42.94812
6.099 1105.0620117 42.94812
6.325 1119.862915 42.94812
6.551 1059.6535645 42.94812
6.777 1061.5250244 42.94812
7.002 1024.6245117 42.94812
7.228 1016.6720581 42.94812
7.454 1006.2976074 42.94812
7.68 1026.7872314 42.94812
