time_hours flux conf
0.0 2577.9692383 188.31145
0.879 2601.1411133 183.60188
1.758 2624.314209 174.09218
2.637 2647.4868164 155.16312
3.516 2670.6591797 118.50102
4.395 2693.8325195 50.898804
5.274 2717.0046387 64.21213
6.153 2729.1916504 165.66208
7.032 2726.6765137 184.95102
7.911 2724.1608887 204.92169
8.79 2721.1533203 208.9768
9.669 2718.1115723 211.90448
10.548 2715.0695801 214.84348
11.427 2712.027832 217.79752
12.306 2708.9853516 220.75977
13.185 2705.9428711 223.74261
14.064 2702.9013672 226.736
14.943 2699.8596191 229.745
15.822 2696.8178711 232.76624
16.701 2693.7749023 235.7998
17.58 2690.7329102 238.85052
18.459 2687.6914062 241.91068
19.338 2684.6491699 244.98697
20.217 2681.6074219 248.07367
21.096 2678.5646973 251.1767
21.975 2675.5224609 254.29239
22.854 2672.480957 257.4224
23.733 2661.1333008 205.6094
24.612 2642.2248535 115.72394
25.49 2623.3164062 41.490906
26.369 2604.4074707 17.96643
27.248 2585.4987793 64.26907
28.127 2566.5905762 99.45693
29.006 2547.6818848 125.663994
29.885 2528.7727051 144.87102
30.764 2538.2006836 149.67418
31.643 2565.730957 147.67975
32.522 2579.8637695 145.66397
33.401 2583.5983887 144.35832
34.28 2587.3330078 143.01912
35.159 2591.0678711 141.64383
36.038 2594.8015137 140.2333
36.917 2598.536377 138.78502
37.796 2602.2712402 137.29987
38.675 2606.0058594 135.77594
39.554 2609.7402344 134.21251
40.433 2613.4750977 132.6092
41.312 2617.2094727 130.96463
42.191 2620.9438477 129.27736
43.07 2624.6787109 127.54741
43.949 2628.4130859 125.77365
44.828 2632.1479492 123.95499
45.707 2635.8823242 122.09011
46.586 2639.6171875 120.17793
47.465 2643.3515625 118.21837
48.344 2647.0859375 116.210075
49.223 2650.8208008 114.15202
50.102 2654.5554199 112.042274
50.981 2658.2893066 109.88161
51.86 2662.0246582 107.667496
52.739 2665.7590332 105.39895
53.618 2669.4931641 103.07555
54.497 2673.2277832 100.69619
55.376 2676.9626465 98.25825
56.255 2680.6972656 95.763695
57.134 2684.4318848 93.208565
58.013 2688.1665039 90.593254
58.892 2691.9008789 87.91635
59.771 2695.635498 85.17601
60.65 2699.3706055 82.3722
61.529 2703.1044922 79.503044
62.408 2706.8393555 76.567795
63.287 2710.5737305 73.565895
64.166 2714.3083496 70.49529
65.045 2718.0427246 67.35506
65.924 2721.7770996 64.14383
66.803 2725.512207 60.860886
67.682 2729.246582 57.50502
68.561 2732.9812012 54.076004
69.44 2736.7155762 50.57094
70.319 2740.4504395 46.990036
71.198 2744.1850586 43.33194
72.077 2747.9191895 39.59424
72.956 2751.6540527 35.778564
73.835 2755.3886719 31.881927
74.713 2759.1230469 27.903046
75.592 2762.857666 23.842117
