time_hours flux conf
0.0 2577.5141602 0.00610352
0.232 2580.3859863 0.00610352
0.465 2582.270752 0.00610352
0.697 2598.9943848 0.00610352
0.93 2606.1936035 0.00610352
1.162 2627.8720703 0.00610352
1.395 2618.1640625 0.00610352
1.627 2608.4882812 0.00610352
1.86 2594.1386719 0.00610352
2.093 2615.8625488 0.00610352
2.325 2640.0839844 0.00610352
2.558 2681.7431641 0.00610352
2.79 2642.4311523 0.00610352
3.023 2622.996582 0.00610352
3.255 2644.8642578 0.00610352
3.488 2681.7404785 0.00610352
3.72 2691.7597656 0.00610352
3.953 2642.7590332 0.00610352
4.185 2676.5629883 0.00610352
4.418 2694.1015625 0.00610352
4.65 2676.8024902 0.00610352
4.883 2696.3127441 0.00610352
5.115 2789.7104492 0.00610352
5.347 2852.2299805 0.00610352
5.58 2813.2695312 0.00610352
5.812 2802.8703613 0.00610352
6.045 2857.4580078 0.00610352
6.278 2834.2570801 0.00610352
6.51 2752.0717773 0.00610352
6.742 2627.885498 0.00610352
6.975 2627.8657227 0.00610352
7.208 2671.8706055 0.00610352
7.44 2622.9069824 0.00610352
7.673 2649.9753418 0.00610352
