 MJD mag mag_err
 2455616.30125 17.289 0.019 
 2455616.31093 17.264 0.022 
 2455616.32061 17.274 0.015 
 2455616.3303  17.261 0.019 
 2455616.33998 17.258 0.015 
 2455616.34966 17.269 0.017 
 2455616.35935 17.271 0.017 
 2455616.36903 17.273 0.018 
 2455616.37873 17.261 0.011 
 2455616.38843 17.248 0.011 
 2455616.39811 17.24  0.013 
 2455616.40781 17.242 0.016 
 2455616.4175  17.227 0.016 
 2455616.42717 17.233 0.015 
 2455616.43688 17.239 0.016 
 2455616.4466  17.261 0.017 
 2455616.45631 17.243 0.018 
 2455616.46601 17.242 0.024 
 2455616.47569 17.234 0.024 
 2455616.48536 17.211 0.022 
 2455616.49505 17.201 0.021 
 2455616.50473 17.208 0.02  
 2455616.51442 17.189 0.02  
 2455616.52411 17.177 0.018 
 2455616.53379 17.212 0.021 
 2455616.54348 17.185 0.022 
 2455616.55318 17.188 0.02  
 2455616.56287 17.233 0.025 
 2455616.57255 17.233 0.023 
 2455616.58224 17.249 0.026 
 2455616.59194 17.247 0.023 
 2455616.60161 17.248 0.019 
 2455616.61129 17.25  0.02  
 2455616.62097 17.257 0.023 
 2455616.63064 17.265 0.017 
 2455617.28212 17.231 0.028 
 2455617.29181 17.238 0.03  
 2455617.30151 17.255 0.022 
 2455617.31122 17.252 0.022 
 2455617.32091 17.243 0.021 
 2455617.3306  17.244 0.024 
 2455617.34029 17.225 0.021 
 2455617.34998 17.243 0.018 
 2455617.3597  17.253 0.015 
 2455617.36937 17.273 0.015 
 2455617.37906 17.286 0.014 
 2455617.38874 17.295 0.014 
 2455617.39841 17.295 0.016 
 2455617.40809 17.255 0.013 
 2455617.41778 17.254 0.014 
 2455617.43714 17.25  0.012 
 2455617.44683 17.273 0.011 
 2455617.45653 17.257 0.015 
 2455617.46624 17.262 0.011 
 2455617.47592 17.262 0.018 
 2455617.4856  17.259 0.015 
 2455617.49528 17.277 0.017 
 2455617.50497 17.273 0.014 
 2455617.51467 17.262 0.015 
 2455617.52435 17.293 0.019 
 2455617.53404 17.32  0.019 
 2455617.54374 17.312 0.017 
 2455617.55343 17.314 0.017 
 2455617.59198 17.267 0.018 
 2455617.60166 17.259 0.018 
 2455617.61138 17.278 0.017 
 2455617.62107 17.278 0.02  
 2455617.63074 17.279 0.017 
 2455619.29059 17.204 0.031 
 2455619.30338 17.213 0.029 
 2455619.31413 17.219 0.022 
 2455619.32396 17.199 0.024 
 2455619.33574 17.209 0.019 
 2455619.34543 17.22  0.026 
 2455619.35511 17.225 0.017 
 2455619.36481 17.211 0.02  
 2455619.37453 17.219 0.017 
 2455619.38424 17.245 0.018 
 2455619.39394 17.23  0.018 
 2455619.42087 17.192 0.012 
 2455619.43055 17.182 0.016 
 2455619.44025 17.176 0.016 
 2455619.44995 17.177 0.019 
 2455619.45961 17.179 0.016 
 2455619.46931 17.193 0.017 
 2455619.47902 17.208 0.013 
 2455619.48872 17.223 0.013 
 2455619.49841 17.199 0.031 
 2455619.5081  17.191 0.021 
 2455619.53436 17.227 0.018 
 2455619.54404 17.254 0.019 
 2455619.55372 17.247 0.024 
 2455619.56342 17.248 0.02  
 2455619.57311 17.247 0.018 
 2455619.5828  17.226 0.013 
 2455619.5925  17.24  0.016 
 2455619.6022  17.281 0.019 
 2455619.61189 17.285 0.021 
 2455619.62157 17.309 0.016 
 2455619.63127 17.31  0.021 
 2455619.64097 17.325 0.03  
 2455620.277   17.329 0.016 
 2455620.28762 17.313 0.016 
 2455620.2973  17.368 0.013 
 2455620.30698 17.337 0.014 
 2455620.31666 17.339 0.016 
 2455620.32635 17.343 0.015 
 2455620.34574 17.331 0.01  
 2455620.35543 17.327 0.012 
 2455620.36513 17.323 0.011 
 2455620.38452 17.322 0.015 
 2455620.39423 17.33  0.017 
 2455620.40394 17.34  0.02  
 2455620.41362 17.348 0.021 
 2455620.42333 17.342 0.023 
 2455620.43304 17.353 0.018 
 2455620.46254 17.364 0.015 
 2455620.47222 17.348 0.018 
 2455620.48189 17.338 0.015 
 2455620.49158 17.318 0.019 
 2455620.50131 17.321 0.017 
 2455620.51102 17.302 0.018 
 2455620.5207  17.295 0.017 
 2455620.54011 17.297 0.019 
 2455620.54981 17.286 0.025 
 2455620.5852  17.219 0.017 
